_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuN0I0d2dDano2SVk,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuZW9OVU5sUVZtVDg,,,,
SOURCE_DOCUMENT_TITLE,"City of Toronto Consolidated Financial Statements for the Year Ended December 31, 2002",,,,
SOURCE_DOCUMENT_TABLE_LOCATION,p.4,,,,
SOURCE_DOCUMENT_TABLE_TITLE,n/a,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B0nzg-ld6eh_S01YTGc4cVI0YUE,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Chris,,,,
YEAR,2002,,,,
VERSION,Actual,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,7081194,,,,
INTAKE_DATETIME,2016-10-01-21-58-58,,,,
INTAKE_OPERATOR_ID,Chris,,,,
COLUMNS_CATEGORIES,"Expense:CODE,Expense:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
GOVERNMENT,General government,752219,,,"Original amount was null, plus:
Allocation from: CORPORATE,Corporate Services,304521
Allocation from: FINANCE,Finance,42316
Allocation from: OTHER,Other (Note 11 (a)),405382"
LEGACY,Legacy Works and Agencies,4146122,,,"Original amount was null, plus:
Allocation from: WORKS,Works and Emergency Services,1461866
Allocation from: AGENCIES,Agencies, Boards and Commissions (Note 11 (b)),2684256"
PLANNING,Planning and development,97101,,,"Original amount was null, plus:
Allocation from: URBANDEV,Urban Development Services,97101"
SOCIALSERVICES,Social and family services,1797165,,,"Original amount was null, plus:
Allocation from: COMMUNITY,Community and Neighbourhood Services,1797165"
CULTURE,Recreation and cultural services,288587,,,"Original amount was null, plus:
Allocation from: ECONDEV,Economic Development, Culture and Tourism,288587"
