_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
"Agencies, Boards and Commissions",AGENCIES,,
Community and Neighbourhood Services,COMMUNITY,,
Corporate Services,CORPORATE,,
"Economic Development, Culture and Tourism",ECONDEV,,
Environmental services,ENVIRONMENT,,
Finance,FINANCE,,
General government,GOVERNMENT,,
Health services,HEALTH,,
Non-program and corporate accounts,NONPROGRAM,,
Other programs,OTHER,,
Planning and development,PLANNING,,
Protection to persons and property,PROTECTION,,
Recreation and cultural services,CULTURE,,
Social and family services,SOCIALSERVICES,,
Social housing,HOUSING,,
Transportation,TRANSPORTATION,,
Urban Development Services,URBANDEV,,
Works and Emergency Services,WORKS,,
