_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,3
Affordable Housing Office,AFFHOUSING,,3
Arena Boards of Management,ARENAS,,2
Association of Community Centres,COMMCENTRES,,3
Capital & Corporate Financing,CORPFINANCING,,4
Children's Services,CHILDSERV,,5
City Clerk's Office,CLERK,,5
City Council,COUNCIL,,1
City Manager's Office,CITYMANAGER,,6
City Planning,PLANNING,,4
Court Services,COURTSERV,,3
Economic Development & Culture,ECONDEV,,8
Engineering & Construction Services,ENGINEERING,,4
Exhibition Place,EXHIBPLACE,,2
"Facilities, Real Estate, Environment & Energy",FACILITIES,,7
Fire Services,FIRE,,5
Fleet Services,FLEET,,3
Heritage Toronto,HERITAGE,,5
Information & Technology,IT,,5
Legal Services,LEGAL,,5
Long Term Care Homes & Services,LONGTERMHOME,,5
Municipal Licensing & Standards,LICENCING,,5
Non-Program Expenditures,CORPEXPENDITURES,,5
Non-Program Revenues,CORPREVENUES,,5
Office of the Chief Financial Officer,CFO,,4
Office of the Treasurer,TREASURER,,5
"Parks, Forestry & Recreation",PARKS,,8
"Policy, Planning, Finance & Administration",POLICYADMIN,,4
Property Tax,PROPERTYTAX,,2
"Shelter, Support & Housing Administration",SHELTERADMIN,,8
"Social Development, Finance & Administration",SOCIALDEV,,5
Solid Waste Management Services,SOLIDWASTE,,6
Theatres,THEATRES,,3
Toronto & Region Conservation Authority,REGIONCONSERV,,3
Toronto Atmospheric Fund,ATMOSPHERE,,2
Toronto Building,BUILDINGS,,6
Toronto Employment & Social Services,SOCIALSERV,,6
Toronto Paramedic Services,PARAMEDIC,,5
Toronto Parking Authority,PARKING,,2
Toronto Police Service,POLICE,,4
Toronto Police Services Board,POLICEBOARD,,1
Toronto Public Health,PUBLICHEALTH,,7
Toronto Public Library,LIBRARY,,6
Toronto Transit Commission - Conventional,TTCCONV,,1
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,1
Toronto Water,WATER,,4
Toronto Zoo,ZOO,,5
Transportation Services,TRANSPORTATION,,6
Yonge-Dundas Square,YONGEDUNDAS,,3
