_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuRnFxVFdwRGdtUFE,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,
SOURCE_DOCUMENT_TITLE,2013 BUDGET BRIEFING NOTE Budget Committee Recommended Position Changes and 2012 Actual Staffing and Year-End Vacancy Projection ,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 13,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2013 BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET OPERATING POSITIONS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8Ouc2NFTmJVQl9hQms,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2012,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,48909.3,
INTAKE_DATETIME,2016-10-13-16-35-29,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
AFFHOUSING,Affordable Housing Office,19
CHILDSERV,Children's Services,927.8
COURTSERV,Court Services,284
ECONDEV,Economic Development & Culture,266.8
EMERG,Emergency Medical Services,1213
LONGTERMHOME,Long Term Care Homes & Services,2169.9
PARKS,"Parks, Forestry & Recreation",4202.2
SHELTERADMIN,"Shelter, Support & Housing Administration",735.2
SOCIALDEV,"Social Development, Finance & Administration",120.4
SOCIALSERV,Toronto Employment & Social Services,2187.5
311SERVICE,311 Toronto,158
PLANNING,City Planning,340
FIRE,Fire Services,3176.3
LICENCING,Municipal Licensing and Standards,452.6
POLICYADMIN,"Policy, Planning, Finance and Administration",195.1
TECH,Technical Services,147.8
BUILDINGS,Toronto Building,420
ENV,Toronto Environment Office,22.6
TRANSPORTATION,Transportation Services,1047.2
CFO,Office of the Chief Financial Officer,95
TREASURER,Office of the Treasurer,730
FACILITIES,Facilities Management and Real Estate,723.6
FLEET,Fleet Services,172
IT,Information & Technology,506
CITYMANAGER,City Manager's Office,392
CLERK,City Clerk's Office,399.8
LEGAL,Legal Services,273
MAYOR,Mayor's Office,18
COUNCIL,City Council,176
AUDITGEN,Auditor General's Office,29
LOBBYREG,Lobbyist Registrar,8.3
INTEGRITYCOMM,Integrity Commissioner's Office,1.5
OMBUDSMAN,Office of the Ombudsman,10
PUBLICHEALTH,Toronto Public Health,1842.2
LIBRARY,Toronto Public Library,1717.9
COMMCENTRES,Association of Community Centres,79
EXHIBPLACE,Exhibition Place,529.5
HERITAGE,Heritage Toronto,6.5
THEATRES,Theatres,181.1
ZOO,Toronto Zoo,388
ARENAS,Arena Boards of Management,65.5
YONGEDUNDAS,Yonge-Dundas Square,5
PARKINGTAGS,Parking Tag Enforcement & Operations,394
ATMOSPHERE,Toronto Atmospheric Fund,7
TTCCONV,Toronto Transit Commission - Conventional,10614
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,529
POLICE,Toronto Police Service,7869
POLICEBOARD,Toronto Police Services Board,8
SOLIDWASTE,Solid Waste Management Services,1096
WATER,Toronto Water,1659.3
PARKING,Toronto Parking Authority,298.7
