_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuZXFWbzc2WHVPVDg,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuaUJtdGpFb0lVWlE,
SOURCE_DOCUMENT_TITLE,2016 CITY OF TORONTO BUDGET SUMMARY,
SOURCE_DOCUMENT_TABLE_LOCATION,"pdf p. 127, document p.125",
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2016 COUNCIL APPROVED OPERATING BUDGET TOTAL POSITIONS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuQ2NZMVFlaU54Rlk,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2015,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,"Taken from 2016 buget, previous year column",
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,54313.7,
INTAKE_DATETIME,2016-10-27-12-09-16,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
AFFHOUSING,Affordable Housing Office,19
CHILDSERV,Children's Services,982.6
COURTSERV,Court Services,282
ECONDEV,Economic Development & Culture,309.6
PARAMEDIC,Toronto Paramedic Services,1394.3
LONGTERMHOME,Long Term Care Homes & Services,2225.9
PARKS,"Parks, Forestry & Recreation",4497.1
SHELTERADMIN,"Shelter, Support & Housing Administration",757.3
SOCIALDEV,"Social Development, Finance & Administration",130.5
SOCIALSERV,Toronto Employment & Social Services,2091
PLANNING,City Planning,373
FIRE,Fire Services,3156.3
LICENCING,Municipal Licensing & Standards,460
POLICYADMIN,"Policy, Planning, Finance & Administration",196.4
ENGINEERING,Engineering & Construction Services,540.1
BUILDINGS,Toronto Building,448
TRANSPORTATION,Transportation Services,1113.3
CFO,Office of the Chief Financial Officer,115
TREASURER,Office of the Treasurer,735
FACILITIES,"Facilities, Real Estate, Environment & Energy",1016.3
FLEET,Fleet Services,176
IT,Information & Technology,838
311SERVICE,311 Toronto,167.3
CITYMANAGER,City Manager's Office,445.5
CLERK,City Clerk's Office,415.4
LEGAL,Legal Services,301.4
MAYOR,Mayor's Office,20
COUNCIL,City Council,176
AUDITGEN,Auditor General's Office,29.5
LOBBYREG,Office of the Lobbyist Registrar,8.3
INTEGRITYCOMM,Integrity Commissioner's Office,3
OMBUDSMAN,Office of the Ombudsman,12
PUBLICHEALTH,Toronto Public Health,1875.3
LIBRARY,Toronto Public Library,1739.9
COMMCENTRES,Association of Community Centres,77.9
EXHIBPLACE,Exhibition Place,384
HERITAGE,Heritage Toronto,7
THEATRES,Theatres,163.1
ZOO,Toronto Zoo,402.5
ARENAS,Arena Boards of Management,66.6
YONGEDUNDAS,Yonge-Dundas Square,6.5
PARKINGTAGS,Parking Tag Enforcement & Operations,394
REGIONCONSERV,Toronto & Region Conservation Authority,419.6
ATMOSPHERE,Toronto Atmospheric Fund,8
TTCCONV,Toronto Transit Commission - Conventional,13712
TTCWHEEL,Toronto Transit Commission - Wheel Trans,562
POLICE,Toronto Police Service,7883
POLICEBOARD,Toronto Police Services Board,7
SOLIDWASTE,Solid Waste Management Services,1109.1
WATER,Toronto Water,1761.7
PARKING,Toronto Parking Authority,299.4
